Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
30.0,4.7,Fog,Low,0,motorcycle,1.0,No,Metropolitian,23
33.0,4.8,Sunny,Low,1,motorcycle,0.0,No,Metropolitian,19
26.0,4.1,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,33
35.0,4.9,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,21
25.0,5.0,Windy,Jam,2,scooter,0.0,No,Urban,18
24.0,4.7,Sunny,Medium,0,motorcycle,0.0,No,Urban,21
22.0,4.8,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,24
32.0,4.7,Stormy,Low,2,motorcycle,0.0,No,Metropolitian,29
37.0,4.6,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,48
30.0,4.7,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,27
33.0,4.1,Stormy,Jam,1,scooter,1.0,No,Metropolitian,31
26.0,4.6,Cloudy,Low,1,motorcycle,0.0,No,Metropolitian,14
20.0,4.6,Cloudy,Jam,0,motorcycle,0.0,No,Metropolitian,27
28.0,4.6,Windy,Low,1,scooter,0.0,No,Metropolitian,19
26.0,4.9,Sandstorms,Jam,2,scooter,0.0,No,Metropolitian,27
34.0,4.2,Windy,Low,0,motorcycle,1.0,No,Metropolitian,34
22.0,5.0,Sandstorms,Medium,2,scooter,1.0,No,Metropolitian,21
,,Windy,Low,2,scooter,1.0,No,Urban,15
34.0,5.0,Fog,Jam,1,scooter,1.0,No,Semi-Urban,49
27.0,4.6,Cloudy,Low,2,scooter,0.0,No,Metropolitian,14
37.0,4.8,Fog,Jam,2,scooter,1.0,No,Metropolitian,44
28.0,4.7,Windy,Low,1,motorcycle,1.0,No,Metropolitian,19
30.0,4.8,Sunny,Low,1,motorcycle,,No,Metropolitian,12
35.0,4.2,Stormy,Jam,0,motorcycle,1.0,Yes,Urban,44
36.0,4.5,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,49
26.0,4.9,Sunny,High,1,scooter,0.0,No,Urban,17
23.0,4.7,Sandstorms,Jam,1,scooter,0.0,No,Urban,10
29.0,4.8,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,15
37.0,4.5,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,23
30.0,4.3,Windy,Medium,1,scooter,2.0,No,Urban,34
21.0,2.8,Sunny,Low,2,electric_scooter,2.0,No,Metropolitian,35
37.0,4.4,Sandstorms,High,0,motorcycle,1.0,No,Metropolitian,42
21.0,4.7,Windy,Low,1,motorcycle,0.0,No,Urban,17
29.0,4.7,Fog,Low,2,scooter,1.0,No,Urban,19
22.0,4.9,Stormy,Low,2,electric_scooter,1.0,No,Metropolitian,13
31.0,4.7,Sandstorms,Jam,0,motorcycle,0.0,No,Metropolitian,34
26.0,4.9,Sunny,Low,1,scooter,1.0,No,Metropolitian,19
39.0,4.8,Stormy,Low,2,scooter,1.0,No,Metropolitian,26
26.0,4.9,Stormy,Medium,2,motorcycle,0.0,No,Metropolitian,24
38.0,4.5,Sunny,High,1,scooter,,No,Metropolitian,17
,,Windy,Low,2,electric_scooter,1.0,No,Metropolitian,20
30.0,4.6,Windy,Low,2,motorcycle,0.0,No,Metropolitian,26
35.0,4.1,Fog,High,0,motorcycle,1.0,No,Metropolitian,34
24.0,4.7,Stormy,Jam,1,motorcycle,0.0,No,,15
20.0,4.9,Windy,Jam,2,electric_scooter,0.0,No,Metropolitian,23
32.0,5.0,Stormy,Medium,0,motorcycle,2.0,No,Metropolitian,42
29.0,5.0,Sunny,Jam,1,motorcycle,1.0,No,Urban,16
27.0,4.6,Cloudy,Low,1,motorcycle,0.0,No,Urban,11
36.0,4.3,Cloudy,High,2,motorcycle,2.0,No,Urban,39
33.0,4.5,Sunny,Jam,2,electric_scooter,1.0,No,Metropolitian,21
29.0,4.7,Sandstorms,High,0,motorcycle,0.0,No,Metropolitian,23
39.0,4.5,Windy,Medium,0,motorcycle,0.0,No,Metropolitian,26
32.0,4.8,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,48
33.0,5.0,Sandstorms,Low,2,scooter,1.0,No,Metropolitian,24
21.0,4.8,Sunny,High,1,scooter,0.0,No,Urban,15
22.0,4.6,Windy,Low,0,motorcycle,0.0,No,Metropolitian,24
38.0,4.9,Sandstorms,Low,2,scooter,0.0,No,Metropolitian,24
27.0,4.8,Sunny,Jam,1,motorcycle,0.0,No,Metropolitian,14
25.0,4.8,Cloudy,Medium,2,motorcycle,0.0,No,Metropolitian,16
32.0,4.8,Fog,Low,2,motorcycle,1.0,No,Metropolitian,19
24.0,4.6,Sunny,Jam,1,motorcycle,1.0,No,Metropolitian,20
36.0,4.5,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,30
20.0,2.6,Sunny,Low,1,motorcycle,1.0,No,Metropolitian,43
21.0,4.9,Windy,Low,1,motorcycle,0.0,No,Urban,10
21.0,5.0,Stormy,Low,1,motorcycle,0.0,No,Metropolitian,11
32.0,4.5,Windy,Low,0,motorcycle,1.0,No,Urban,26
30.0,4.9,Sandstorms,Low,1,motorcycle,1.0,No,Urban,21
26.0,4.0,Stormy,Low,0,motorcycle,1.0,No,Urban,28
35.0,4.9,Sunny,Low,1,scooter,0.0,No,Metropolitian,12
32.0,4.1,Windy,High,2,electric_scooter,2.0,No,Metropolitian,34
34.0,4.3,Stormy,Jam,2,motorcycle,1.0,No,Metropolitian,32
30.0,4.1,Stormy,Low,0,motorcycle,0.0,No,Metropolitian,26
28.0,4.6,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,34
,,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,25
35.0,4.8,Windy,Low,2,scooter,1.0,No,Metropolitian,25
33.0,4.0,Fog,Medium,1,motorcycle,2.0,No,Metropolitian,43
34.0,4.7,Cloudy,High,1,scooter,1.0,No,Metropolitian,27
25.0,4.8,Sandstorms,Medium,2,scooter,0.0,No,Urban,24
33.0,4.7,Windy,Medium,2,motorcycle,1.0,No,Urban,28
26.0,4.6,Windy,Low,1,scooter,1.0,No,Metropolitian,13
34.0,4.8,Windy,Low,1,scooter,1.0,No,Metropolitian,25
27.0,4.6,Stormy,Medium,1,motorcycle,1.0,No,Metropolitian,27
20.0,5.0,Windy,Low,2,electric_scooter,1.0,No,Metropolitian,17
,,,,3,electric_scooter,0.0,No,Metropolitian,40
37.0,4.5,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,28
,,Sunny,Low,2,motorcycle,1.0,No,Metropolitian,25
32.0,4.5,Fog,Low,2,scooter,0.0,No,Metropolitian,15
38.0,5.0,Fog,Jam,0,motorcycle,2.0,No,Metropolitian,45
26.0,4.9,Cloudy,Low,0,motorcycle,0.0,No,Metropolitian,15
,,Fog,Low,2,scooter,1.0,No,Metropolitian,35
,,Windy,High,2,electric_scooter,0.0,No,Metropolitian,29
26.0,4.6,Windy,Medium,2,motorcycle,1.0,No,Metropolitian,26
27.0,4.9,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,23
38.0,4.8,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,17
27.0,4.9,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,24
38.0,4.7,Cloudy,Low,0,motorcycle,,No,Metropolitian,29
32.0,4.1,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,23
23.0,4.9,Fog,Jam,2,scooter,1.0,No,Urban,27
33.0,4.4,Sandstorms,Jam,2,scooter,1.0,No,Metropolitian,39
22.0,4.6,Windy,High,2,motorcycle,,No,Metropolitian,11
37.0,4.1,Sandstorms,Jam,2,motorcycle,1.0,No,Urban,32
26.0,4.8,Cloudy,Medium,2,scooter,1.0,No,Metropolitian,29
33.0,4.0,Cloudy,Jam,2,electric_scooter,1.0,No,Metropolitian,38
24.0,4.7,Fog,Low,0,motorcycle,0.0,No,Metropolitian,15
31.0,4.7,Windy,Jam,2,motorcycle,1.0,No,Urban,25
36.0,3.7,Stormy,Jam,1,motorcycle,1.0,No,Metropolitian,39
24.0,4.8,Sandstorms,Medium,2,scooter,,No,Metropolitian,27
27.0,4.6,Fog,Medium,2,motorcycle,1.0,No,Metropolitian,29
36.0,4.1,Stormy,Jam,2,scooter,0.0,No,Urban,42
31.0,4.0,Windy,Jam,0,motorcycle,1.0,No,Urban,54
33.0,4.3,Windy,Low,0,motorcycle,,No,Metropolitian,29
21.0,4.5,Stormy,Jam,2,electric_scooter,1.0,No,Metropolitian,17
20.0,4.7,Windy,Low,2,scooter,0.0,No,Metropolitian,15
38.0,3.5,Stormy,Jam,1,scooter,1.0,No,Urban,44
29.0,4.6,Sandstorms,Jam,1,scooter,1.0,No,Urban,11
21.0,5.0,Fog,Medium,1,scooter,0.0,No,Urban,12
22.0,4.9,Windy,Medium,1,scooter,1.0,No,Metropolitian,27
24.0,4.9,Windy,Medium,2,scooter,1.0,No,Urban,22
20.0,4.6,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,27
36.0,4.7,Cloudy,Low,0,motorcycle,1.0,No,Urban,24
34.0,4.0,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,44
,,Windy,High,2,motorcycle,1.0,No,Metropolitian,32
32.0,4.0,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,33
23.0,4.9,Stormy,Low,1,motorcycle,1.0,No,Urban,11
,,,,3,electric_scooter,1.0,No,Metropolitian,24
27.0,4.9,Stormy,Low,2,scooter,1.0,No,Urban,11
34.0,4.8,Sunny,Low,0,motorcycle,1.0,No,Urban,27
26.0,4.5,Windy,High,1,scooter,1.0,No,Metropolitian,27
27.0,4.6,Fog,Low,0,motorcycle,1.0,No,Metropolitian,24
30.0,3.6,Fog,Low,2,scooter,1.0,No,Metropolitian,37
36.0,4.5,Sunny,Jam,1,motorcycle,1.0,No,Metropolitian,33
31.0,4.9,Sunny,Jam,1,motorcycle,1.0,No,,20
35.0,3.9,Windy,Medium,2,scooter,1.0,No,Metropolitian,34
36.0,3.7,Cloudy,Low,2,scooter,0.0,No,Metropolitian,37
23.0,4.9,Windy,Jam,0,motorcycle,1.0,No,Urban,30
23.0,4.5,Sunny,Jam,2,scooter,1.0,No,Urban,15
27.0,4.4,Cloudy,Medium,1,scooter,0.0,No,Metropolitian,31
35.0,4.1,Cloudy,Low,2,motorcycle,1.0,No,Metropolitian,36
25.0,4.6,Sandstorms,Low,2,scooter,1.0,No,Metropolitian,19
33.0,4.6,Fog,Medium,2,electric_scooter,1.0,No,Urban,37
22.0,4.7,Stormy,Low,0,motorcycle,0.0,No,Metropolitian,21
23.0,4.0,Cloudy,Jam,1,motorcycle,2.0,No,Urban,43
22.0,4.9,Windy,High,1,scooter,1.0,No,Metropolitian,28
27.0,4.7,Fog,Medium,1,motorcycle,1.0,No,,29
31.0,4.8,Sandstorms,Medium,2,scooter,1.0,No,Metropolitian,32
25.0,4.9,Cloudy,Medium,2,electric_scooter,0.0,No,Urban,19
38.0,4.9,Cloudy,Jam,1,scooter,0.0,Yes,Metropolitian,47
30.0,4.8,Windy,Low,2,electric_scooter,1.0,No,Metropolitian,25
32.0,4.9,Sandstorms,Jam,0,motorcycle,2.0,No,Urban,44
38.0,4.9,Cloudy,Low,1,scooter,1.0,No,Metropolitian,18
27.0,4.9,Fog,Low,1,scooter,1.0,No,Metropolitian,27
32.0,4.7,Windy,Jam,1,scooter,1.0,No,Metropolitian,28
30.0,4.6,Fog,Low,0,motorcycle,0.0,No,Urban,20
35.0,5.0,Fog,Jam,2,electric_scooter,1.0,No,Metropolitian,30
32.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,32
37.0,4.5,Sunny,High,0,motorcycle,1.0,No,Urban,23
24.0,4.6,Fog,Medium,2,scooter,0.0,No,Metropolitian,17
21.0,4.6,Sandstorms,Jam,0,motorcycle,0.0,No,Urban,35
39.0,4.8,Stormy,Jam,1,motorcycle,0.0,No,Metropolitian,31
35.0,4.6,Sunny,Jam,0,motorcycle,1.0,No,Metropolitian,26
25.0,4.7,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,17
31.0,4.7,Stormy,Medium,0,motorcycle,1.0,No,,30
26.0,4.5,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,45
35.0,4.7,Fog,Jam,2,motorcycle,0.0,No,Metropolitian,33
36.0,4.8,Fog,High,2,electric_scooter,1.0,No,Metropolitian,33
22.0,4.6,Fog,Medium,2,electric_scooter,1.0,No,Urban,18
,,Cloudy,Low,2,scooter,1.0,No,Urban,15
27.0,4.6,Sunny,Jam,0,motorcycle,1.0,No,Metropolitian,33
22.0,4.8,Cloudy,Jam,1,motorcycle,0.0,No,Metropolitian,32
37.0,4.5,Sunny,Low,0,motorcycle,0.0,No,Urban,28
36.0,4.0,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,33
27.0,4.0,Sandstorms,Low,0,motorcycle,0.0,No,Urban,20
37.0,4.3,Sandstorms,Low,0,motorcycle,1.0,No,Urban,28
22.0,4.7,Sandstorms,Jam,2,scooter,1.0,No,Metropolitian,19
,,,,0,motorcycle,,No,Metropolitian,27
25.0,4.5,Cloudy,Medium,1,motorcycle,0.0,No,Urban,15
25.0,4.8,Fog,Medium,0,motorcycle,0.0,No,Metropolitian,29
38.0,4.3,Fog,Jam,2,electric_scooter,1.0,Yes,Metropolitian,39
29.0,4.7,Sandstorms,Jam,0,motorcycle,0.0,No,Metropolitian,21
37.0,4.0,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,32
29.0,4.8,Fog,Medium,1,scooter,0.0,No,Urban,18
26.0,4.7,Sandstorms,Low,2,scooter,1.0,No,Urban,18
20.0,4.8,Sandstorms,Jam,0,motorcycle,0.0,No,Metropolitian,25
30.0,4.6,Sandstorms,Medium,2,scooter,0.0,No,Urban,28
24.0,5.0,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,29
22.0,4.8,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,24
24.0,4.6,Fog,Low,0,motorcycle,1.0,No,Metropolitian,21
39.0,4.6,Sunny,Low,1,motorcycle,1.0,No,Metropolitian,16
26.0,4.9,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,26
24.0,4.7,Windy,Jam,2,electric_scooter,1.0,No,Metropolitian,29
32.0,4.8,Fog,Low,1,motorcycle,1.0,No,Metropolitian,28
29.0,5.0,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,24
33.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,25
35.0,4.2,Windy,Low,0,motorcycle,0.0,No,Metropolitian,26
32.0,4.6,Sandstorms,Low,2,scooter,0.0,No,Metropolitian,20
26.0,4.9,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,20
21.0,4.6,Windy,Jam,0,motorcycle,1.0,No,Urban,29
33.0,4.6,Stormy,Medium,2,motorcycle,1.0,No,Metropolitian,29
30.0,4.9,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,35
23.0,4.4,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,24
21.0,4.7,Stormy,Medium,2,scooter,0.0,No,Metropolitian,25
20.0,4.7,Windy,Low,1,motorcycle,0.0,No,Metropolitian,10
26.0,4.9,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,11
29.0,4.7,Fog,Medium,2,scooter,0.0,No,Metropolitian,14
35.0,4.2,Stormy,High,0,motorcycle,1.0,No,Metropolitian,32
25.0,4.9,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,29
38.0,4.4,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,33
37.0,4.6,Sandstorms,Medium,2,scooter,1.0,No,Metropolitian,28
21.0,4.7,Stormy,Low,1,scooter,0.0,No,Urban,10
30.0,4.9,Sandstorms,High,2,motorcycle,0.0,No,Metropolitian,27
30.0,4.9,Sunny,Jam,2,electric_scooter,1.0,No,Metropolitian,21
24.0,4.6,Fog,Low,2,electric_scooter,1.0,No,Metropolitian,16
35.0,4.3,Stormy,Jam,2,electric_scooter,1.0,No,Metropolitian,33
30.0,5.0,Windy,High,1,motorcycle,0.0,No,Metropolitian,25
,,Cloudy,Medium,2,scooter,1.0,No,Metropolitian,19
31.0,4.2,Cloudy,High,2,electric_scooter,1.0,No,Urban,36
23.0,4.8,Sandstorms,Jam,1,scooter,1.0,No,Metropolitian,22
,,Sunny,Jam,2,electric_scooter,1.0,No,Metropolitian,32
33.0,4.2,Stormy,Jam,1,scooter,1.0,No,Metropolitian,31
29.0,4.9,Cloudy,Low,2,scooter,1.0,No,Urban,26
22.0,4.3,Stormy,Jam,0,motorcycle,,No,Urban,37
33.0,3.7,Fog,Low,1,motorcycle,1.0,No,Metropolitian,39
26.0,4.7,Stormy,Jam,1,motorcycle,1.0,No,Urban,20
23.0,4.8,Sunny,Low,2,scooter,1.0,No,Metropolitian,22
29.0,4.5,Sandstorms,Jam,2,motorcycle,1.0,No,Metropolitian,23
39.0,4.3,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,43
25.0,4.5,Sandstorms,Medium,2,scooter,0.0,No,Urban,16
34.0,5.0,Stormy,Jam,1,scooter,1.0,No,Metropolitian,30
24.0,4.5,Fog,Medium,2,motorcycle,1.0,No,Urban,27
28.0,4.4,Fog,Jam,1,motorcycle,0.0,No,Metropolitian,33
32.0,4.5,Stormy,Jam,1,scooter,1.0,Yes,Metropolitian,42
39.0,4.7,Cloudy,Low,1,scooter,1.0,No,Urban,15
36.0,4.8,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,47
30.0,4.8,Sunny,Low,2,scooter,1.0,No,Metropolitian,26
24.0,4.9,Sandstorms,Jam,2,scooter,1.0,No,Metropolitian,18
36.0,4.6,Stormy,Low,2,scooter,0.0,No,Urban,23
36.0,4.7,Stormy,Jam,0,motorcycle,0.0,No,Metropolitian,35
39.0,4.8,Sunny,Medium,2,electric_scooter,1.0,No,Metropolitian,22
24.0,4.9,Stormy,Medium,1,scooter,1.0,No,Metropolitian,19
31.0,4.0,Windy,Jam,0,motorcycle,1.0,Yes,Metropolitian,49
24.0,4.9,Windy,Low,2,motorcycle,0.0,No,Metropolitian,14
29.0,4.6,Cloudy,Medium,2,scooter,1.0,No,Metropolitian,26
24.0,4.8,Fog,Jam,1,motorcycle,0.0,No,Urban,21
25.0,4.8,Sunny,Medium,2,motorcycle,0.0,No,Metropolitian,13
31.0,4.7,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,26
29.0,4.9,Sandstorms,High,0,motorcycle,1.0,No,Metropolitian,30
23.0,4.6,Fog,Low,0,motorcycle,1.0,No,Metropolitian,18
24.0,4.7,Stormy,Jam,1,motorcycle,1.0,No,Urban,16
35.0,4.7,Sunny,Low,1,motorcycle,1.0,No,Metropolitian,16
29.0,4.5,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,14
29.0,4.6,Windy,Low,0,motorcycle,1.0,No,Urban,20
33.0,4.7,Cloudy,Low,1,scooter,0.0,No,Metropolitian,28
39.0,4.7,Cloudy,Medium,1,scooter,1.0,No,Metropolitian,18
25.0,4.9,Stormy,Jam,2,motorcycle,0.0,No,Urban,15
30.0,4.9,Windy,Medium,2,scooter,1.0,No,Metropolitian,20
31.0,4.6,Windy,Low,1,scooter,,No,Urban,22
23.0,4.5,Windy,Low,2,motorcycle,1.0,No,Metropolitian,13
31.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,24
32.0,3.7,Windy,Medium,2,scooter,2.0,No,Metropolitian,35
25.0,4.7,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,25
31.0,4.1,Stormy,Low,0,motorcycle,0.0,No,Urban,27
38.0,4.0,Windy,Jam,0,motorcycle,0.0,No,Metropolitian,39
36.0,4.7,Sandstorms,Medium,1,motorcycle,2.0,No,Metropolitian,32
28.0,4.9,Stormy,Jam,0,motorcycle,1.0,No,Urban,28
27.0,4.7,Sandstorms,Low,1,motorcycle,1.0,No,Urban,18
32.0,4.3,Cloudy,Jam,1,motorcycle,,Yes,Metropolitian,49
25.0,3.9,Sunny,High,0,motorcycle,1.0,Yes,Metropolitian,45
25.0,4.7,Stormy,Jam,1,motorcycle,0.0,No,Urban,10
26.0,4.8,Stormy,Low,1,scooter,0.0,No,Metropolitian,18
,,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,30
38.0,3.9,Fog,Low,2,motorcycle,1.0,No,Metropolitian,39
29.0,4.1,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,33
24.0,4.3,Stormy,Low,0,motorcycle,0.0,No,Metropolitian,22
29.0,4.9,Windy,Low,2,motorcycle,1.0,No,Urban,17
20.0,4.8,Cloudy,Low,1,scooter,1.0,No,Metropolitian,20
28.0,4.9,Windy,Medium,2,motorcycle,1.0,No,Metropolitian,25
26.0,4.9,Stormy,Low,0,motorcycle,0.0,No,Metropolitian,17
39.0,4.7,Sunny,Jam,1,scooter,1.0,No,Metropolitian,18
29.0,4.5,Sunny,Jam,0,motorcycle,1.0,No,Metropolitian,23
20.0,4.7,Sandstorms,Jam,2,scooter,1.0,No,Urban,18
35.0,4.8,Fog,Medium,0,motorcycle,2.0,Yes,Metropolitian,45
34.0,4.8,Fog,Medium,2,electric_scooter,1.0,No,Metropolitian,38
33.0,4.7,Sunny,High,1,motorcycle,1.0,No,Metropolitian,17
32.0,4.9,Sunny,Jam,2,electric_scooter,0.0,No,Metropolitian,15
30.0,4.9,Windy,Low,1,scooter,1.0,No,,20
36.0,4.9,Stormy,Medium,0,motorcycle,0.0,No,Metropolitian,49
25.0,4.8,Sunny,Jam,0,motorcycle,,No,Metropolitian,20
22.0,4.7,Stormy,Medium,1,motorcycle,1.0,No,Urban,18
26.0,4.9,Cloudy,High,2,motorcycle,1.0,No,Metropolitian,22
29.0,4.8,Sunny,Jam,1,motorcycle,1.0,No,Metropolitian,24
39.0,4.4,Windy,High,1,scooter,1.0,No,Urban,31
32.0,4.2,Stormy,Low,0,motorcycle,0.0,No,Urban,23
25.0,4.7,Sunny,Jam,1,scooter,0.0,No,Metropolitian,12
31.0,5.0,Stormy,Jam,0,motorcycle,0.0,No,Metropolitian,36
28.0,4.1,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,27
24.0,4.7,Sunny,Low,0,motorcycle,1.0,No,Metropolitian,26
35.0,4.3,Stormy,Medium,2,motorcycle,1.0,No,,33
33.0,4.7,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,43
31.0,4.1,Stormy,Jam,1,motorcycle,0.0,No,Metropolitian,39
34.0,4.6,Stormy,Low,2,motorcycle,1.0,No,Metropolitian,18
33.0,4.9,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,24
35.0,4.6,Sunny,Medium,2,motorcycle,1.0,No,Metropolitian,18
32.0,4.0,Sandstorms,Jam,2,scooter,1.0,No,Metropolitian,34
50.0,6.0,,,3,electric_scooter,1.0,No,Urban,11
33.0,4.5,Sandstorms,Jam,1,scooter,1.0,No,Metropolitian,35
20.0,4.7,Sandstorms,Low,1,scooter,0.0,No,Urban,18
32.0,4.1,Sandstorms,Jam,2,electric_scooter,1.0,No,Metropolitian,38
39.0,4.7,Windy,Low,1,motorcycle,1.0,No,Metropolitian,21
29.0,4.7,Windy,Medium,2,motorcycle,0.0,No,Metropolitian,29
24.0,4.9,Sandstorms,Low,2,scooter,0.0,No,Urban,10
33.0,5.0,Sandstorms,Medium,2,motorcycle,1.0,No,Metropolitian,34
39.0,4.8,Windy,Medium,1,scooter,0.0,No,Metropolitian,30
38.0,4.4,Stormy,Jam,1,motorcycle,1.0,No,Metropolitian,34
22.0,4.9,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,25
21.0,4.6,Windy,Jam,2,scooter,0.0,No,Metropolitian,17
,,Windy,Medium,2,electric_scooter,1.0,No,Metropolitian,33
27.0,4.7,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,27
24.0,4.8,Windy,High,1,scooter,1.0,No,Metropolitian,23
35.0,4.5,Fog,Low,2,scooter,1.0,No,Metropolitian,17
29.0,4.9,Cloudy,Low,0,motorcycle,0.0,No,Urban,21
33.0,4.4,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,44
23.0,4.5,Sandstorms,Jam,1,scooter,0.0,No,Urban,20
35.0,4.2,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,22
39.0,4.7,Stormy,Jam,2,electric_scooter,1.0,No,Metropolitian,28
21.0,4.9,Windy,Low,2,scooter,,No,Urban,11
34.0,4.7,Fog,Low,0,motorcycle,1.0,No,Metropolitian,20
29.0,4.1,Fog,Medium,1,scooter,1.0,No,Metropolitian,38
37.0,4.1,Stormy,Jam,2,electric_scooter,1.0,No,Urban,44
21.0,5.0,Fog,Medium,2,motorcycle,2.0,No,Metropolitian,37
29.0,4.6,Stormy,Medium,1,scooter,1.0,No,Metropolitian,19
24.0,4.6,Sandstorms,Low,2,scooter,0.0,No,Metropolitian,16
22.0,4.6,Sunny,Jam,1,scooter,1.0,No,Metropolitian,17
28.0,4.6,Sandstorms,Medium,1,scooter,0.0,No,Metropolitian,19
32.0,4.7,Fog,Medium,1,motorcycle,0.0,No,Metropolitian,16
24.0,4.9,Sunny,Low,1,motorcycle,1.0,No,Metropolitian,18
20.0,4.5,Windy,Low,0,motorcycle,1.0,No,Metropolitian,18
33.0,4.6,Sunny,Jam,2,scooter,0.0,No,Metropolitian,29
37.0,4.8,Sunny,Low,1,scooter,1.0,No,Urban,29
35.0,4.9,Sandstorms,High,1,motorcycle,0.0,No,Urban,29
27.0,4.9,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,24
25.0,4.5,Stormy,Medium,2,motorcycle,1.0,No,Urban,24
38.0,4.0,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,35
30.0,4.7,Fog,Low,2,motorcycle,0.0,No,Metropolitian,17
35.0,5.0,Cloudy,Low,2,motorcycle,1.0,No,Metropolitian,17
25.0,4.7,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,15
33.0,4.8,Fog,Jam,1,scooter,2.0,Yes,Urban,40
28.0,4.9,Sandstorms,Medium,1,scooter,1.0,No,Metropolitian,25
38.0,3.8,Fog,Low,2,scooter,1.0,No,,31
34.0,4.9,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,27
31.0,4.9,Sunny,Low,1,scooter,1.0,No,Urban,17
35.0,4.3,Stormy,Low,0,motorcycle,1.0,No,Urban,24
25.0,4.7,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,17
20.0,4.9,Sunny,High,2,scooter,1.0,No,Metropolitian,19
27.0,4.7,Sandstorms,Jam,1,motorcycle,,No,Metropolitian,23
21.0,4.6,Cloudy,Medium,2,motorcycle,1.0,No,Metropolitian,28
23.0,4.8,Fog,Medium,0,motorcycle,0.0,No,Metropolitian,20
32.0,4.7,Cloudy,Medium,1,motorcycle,1.0,No,Urban,16
21.0,4.8,Sandstorms,Low,2,scooter,0.0,No,Metropolitian,19
31.0,4.0,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,36
,,Fog,Low,2,electric_scooter,1.0,No,Urban,11
33.0,4.9,Cloudy,Medium,2,electric_scooter,1.0,No,Metropolitian,30
22.0,4.8,Sandstorms,Medium,2,scooter,1.0,No,Metropolitian,29
20.0,4.6,Sandstorms,Jam,1,scooter,0.0,No,Urban,16
23.0,4.9,Fog,Medium,2,scooter,1.0,No,Metropolitian,30
21.0,4.6,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,31
28.0,4.7,Cloudy,Low,2,scooter,1.0,No,Urban,21
25.0,4.4,Cloudy,Jam,2,electric_scooter,2.0,Yes,Metropolitian,42
